Vos notes Kindle pour :,,,;
"Surlignement (Jaune),""Emplacement 2251"","""",""In many ways, the gaps between microcontrollers and microprocessors are closing. MicroPython is an almost full version of Python 3.4 designed for microcontrollers.""";
"Surlignement (Jaune),""Emplacement 2261"","""",""The thing to realize when working with dev kits is that they don’t always reflect the “real world.” They are designed to let you work with anything, so they might have more RAM or higher tolerances so that you can use any power system.""";
"Surlignement (Jaune),""Emplacement 2281"","""",""Spark, a platform company that is fast becoming the development kit and cloud service provider of choice for hardware startups creating connected""";
"Surlignement (Jaune),""Emplacement 2378"","""",""The LightBlue Bean is a module powered by coin-cell batteries that can be used for prototyping. It has the advantage of being programmed wirelessly via LightBlue and its iOS app.""";
"Surlignement (Jaune),""Emplacement 2386"","""",""CDMA (code division multiple access)""";
"Surlignement (Jaune),""Emplacement 2388"","""",""Kindle,""";
"Note,""Emplacement 2388"","""",""Produit inspirant comme les trotinettes électriques """;
"Surlignement (Jaune),""Emplacement 2416"","""",""VCs want the promise of software-like scale.""";
"Surlignement (Jaune),""Emplacement 2416"","""",""You’ll want the ability to add new features, kill bugs via updates, and know more about your customers and potential revenue from apps and data.""";
"Surlignement (Jaune),""Emplacement 2432"","""",""Selling from your own site will get your highest retail margins and allow you to describe your product in your own words.""";
"Surlignement (Jaune),""Emplacement 2436"","""",""When choosing your platform, our advice is to go with what your team knows, determine what is adaptable to your desired feature set, and make sure you can scale for the first set of users.""";
"Surlignement (Jaune),""Emplacement 2455"","""",""produce the same app for both Android and iOS. There’s a clear speed advantage in development when you’re producing two apps at once, but you should still factor in testing for each platform.""";
"Surlignement (Jaune),""Emplacement 2561"","""",""Milling Performed on a mill, this process involves fastening down the workpiece and using rotary cutters, most of which are referred to as endmills, to remove material.""";
"Surlignement (Jaune),""Emplacement 2575"","""",""Molding Normally, injection molding is used for plastics in consumer products. Overmolding (multiple plastics), compression molding, and transfer molding are other molding examples.""";
"Surlignement (Jaune),""Emplacement 2580"","""",""Casting Similar to molding, but normally done with metals not under pressure. Die casting, investment casting, and pressure casting are a few types.""";
"Surlignement (Jaune),""Emplacement 2583"","""",""Stamping Cutting and bending a piece of sheet metal into a shape.""";
"Surlignement (Jaune),""Emplacement 2588"","""",""Die cutting Normally used on packaging, paper, and other thin sheets. Cuts out a 2D pattern.""";
"Surlignement (Jaune),""Emplacement 2623"","""",""BGA Ball grid array. An SMT component with a grid of solder balls that provides the most interconnections possible. Inspection must be done with X-rays, and rework is very challenging.""";
"Surlignement (Jaune),""Emplacement 2634"","""",""PCBA/PCA Printed circuit board assembly. A printed circuit board that has been populated with components.""";
"Surlignement (Jaune),""Emplacement 2640"","""",""QFN Quad flat no-leads. An SMT component with no leads extending beyond the package footprint. Can be smaller components, but harder to debug and rework since the leads are inaccessible.""";
"Surlignement (Jaune),""Emplacement 2702"","""",""Original equipment manufacturer (OEM) A company that makes the original parts, components, or assemblies that go into a product. Original design manufacturer (ODM) A company that specializes in manufacturing products for other brands. This approach is often known as a white label, since any company could approach the same ODM and sell the product under its own brand. Contract manufacturer (CM) A company that handles the manufacturing and potentially the supply chain for another company. A""";
"Surlignement (Jaune),""Emplacement 2714"","""",""Electronic manufacturing service (EMS) A company that designs, tests, and manufactures electronic components and assemblies.""";
"Surlignement (Jaune),""Emplacement 2724"","""",""Design for X (DFX) The process of making sure your final prototype can be be manufactured efficiently and within budget. This process comprises design for manufacture (DFM), design for assembly (DFA), design for test (DFT), and design for cost (DFC).""";
"Surlignement (Jaune),""Emplacement 2728"","""",""Engineering verification test (EVT) The first gate in manufacturing. At this stage you are normally hand-assembling parts from tooling to check engineering function.""";
"Surlignement (Jaune),""Emplacement 2732"","""",""Design verification test (DVT)""";
"Surlignement (Jaune),""Emplacement 2734"","""",""The second major stage in building a pilot. You should have all tooled parts going down a custom assembly line at this point. Production verification test (PVT) The final stage in production ramp before full-on mass production (MP).""";
"Surlignement (Jaune),""Emplacement 2740"","""",""Standard operating procedure (SOP) Detailed instructions of a manufacturing process spelling out each individual step. Sometimes referred to as MWI (manufacturing work instructions).""";
"Surlignement (Jaune),""Emplacement 2744"","""",""Approved vendor list (AVL)""";
"Surlignement (Jaune),""Emplacement 2750"","""",""ME CAD is normally transferred through STEP or IGES 3D files or traditional 2D drawings for critical parts. EE CAD is transferred through Gerber files and drill files for boards.""";
"Surlignement (Jaune),""Emplacement 2784"","""",""“in manufacturing, probably more so than many other disciplines, there’s no day off,”""";
"Surlignement (Jaune),""Emplacement 2787"","""",""Approaching manufacturing, it is important to change your design to accommodate the necessities of mass production. This is lumped under the umbrella term DFX, encompassing design for manufacture (DFM), design for assembly (DFA), etc.""";
"Surlignement (Jaune),""Emplacement 2793"","""",""Another important consideration for your design is the kind of environments and situations your product will need to withstand. This part of designing is normally called ruggedization. The most common consideration here is the ingress protection (IP) rating of the product, which reflects how much water and dust a product is susceptible to through""";
"Surlignement (Jaune),""Emplacement 2799"","""",""shock and vibrations""";
"Surlignement (Jaune),""Emplacement 2800"","""",""chemicals that the product will be exposed to, especially during normal cleaning.""";
"Surlignement (Jaune),""Emplacement 2803"","""",""This back-and-forth process is known as a request for quote (RFQ), and it’s important to be prepared with any documentation or information that the vendor will need in order to expedite the process.""";
"Surlignement (Jaune),""Emplacement 2806"","""",""product requirements document (PRD), BOM,""";
"Surlignement (Jaune),""Emplacement 2810"","""",""bill of materials (BOM)""";
"Surlignement (Jaune),""Emplacement 2811"","""",""the cost of goods sold (COGS), the cost it actually takes to produce your product.""";
"Surlignement (Jaune),""Emplacement 2820"","""",""Larger companies will start with a higher-level market requirements document (MRD) from the marketing team that will contribute to development of the PRD,""";
"Surlignement (Jaune),""Emplacement 2826"","""",""Keep in mind that quotes are free but take time and resources on both sides to produce";" make sure to get a few quotes, but don’t waste too much time on this initial process."""
"Surlignement (Jaune),""Emplacement 2847"","""",""visit the marketing bullet points and ask, ‘What are you promising your customers?’""";
"Surlignement (Jaune),""Emplacement 2850"","""",""Test the riskiest parts of your assembly before putting them into higher-value subassemblies.""";
"Surlignement (Jaune),""Emplacement 2860"","""",""The stages of EVT (engineering verification [sometimes seen as validation] test), DVT (design verification test), and PVT (production verification test)""";
"Surlignement (Jaune),""Emplacement 2868"","""",""One strategy for this problem, especially overseas, is to purposefully split up parts of your supply chain among more factories than necessary, making sure that no one vendor has access to your entire design intent.""";
"Surlignement (Jaune),""Emplacement 2936"","""",""China.""";
"Surlignement (Jaune),""Emplacement 2937"","""",""In other words, they were good at scale, but not necessarily good at implementing new technologies.""";
"Surlignement (Jaune),""Emplacement 2942"","""",""the problem with innovating new technologies in that system was that Tesla “had trouble figuring out in a regular 2008 car who actually did any of the actual engineering.” This made innovation hard when so many hands touched a design and none had full responsibility for it.""";
"Surlignement (Jaune),""Emplacement 2969"","""",""I’ll just compete on price’ since you’re in China, but then your margins are really thin and you’re constantly cash-starved.""";
"Surlignement (Jaune),""Emplacement 2987"","""",""The most important thing to be aware of is that the equation is still basically correct, but the constants are shifting.""";
"Surlignement (Jaune),""Emplacement 3010"","""",""Since he knew from the start it was a project aimed at hobbyists, he avoided processes that are geared toward high volumes.""";
"Surlignement (Jaune),""Emplacement 3024"","""",""bunnie also stresses the importance of choosing your factory partners and maintaining clear communication and a good relationship with them: I consider them almost at the same level as VCs in the hierarchy of partnerships.""";
"Surlignement (Jaune),""Emplacement 3054"","""",""How will consumers recycle, repair, or dispose of your product when they’re done using it? This""";
"Surlignement (Jaune),""Emplacement 3077"","""",""If you manufacture in a foreign country and then bring the goods into your home country, you are an importer and subject to a series of reporting requirements and tariffs.""";
"Surlignement (Jaune),""Emplacement 3097"","""",""Their fees may include insurance for your shipment while it moves through transit""";
"Surlignement (Jaune),""Emplacement 3098"","""",""warehousing costs for temporary storage between stops, arrival agent fees, and more.""";
"Surlignement (Jaune),""Emplacement 3099"","""",""They are middlemen,""";
"Surlignement (Jaune),""Emplacement 3104"","""",""A few startups are attempting to bring price transparency in the freight space. One is Haven, which enables customers to use its web platform to obtain quotes directly from carriers and bid for capacity based on trending prices.""";
"Surlignement (Jaune),""Emplacement 3109"","""",""free on board (FOB), which designates which port your product will actually be shipped to.""";
"Surlignement (Jaune),""Emplacement 3124"","""",""The most common (and expensive) type of tooling for hardware startups is often steel molds for injection-molding plastic parts.""";
"Surlignement (Jaune),""Emplacement 3131"","""",""Jigs and fixtures also refer to dedicated tooling,""";
"Surlignement (Jaune),""Emplacement 3146"","""",""you will want to go through a formal first article inspection (FAI), during which you measure all of the critical-to-function (CTF) dimensions called out by your design engineer and produce a first article inspection report (FAIR) documenting which dimensions are in spec and which are not.""";
"Surlignement (Jaune),""Emplacement 3158"","""",""Buttons and other areas requiring a good-feeling mechanical fit are prime areas you will want to purposefully design too small at first, knowing you can subtract tool steel later to add plastic to each part.""";
"Surlignement (Jaune),""Emplacement 3174"","""",""quality assurance (QA) and quality control (QC).""";
"Surlignement (Jaune),""Emplacement 3175"","""",""QA refers to the overall technique of improving your processes and production line. QC is the process of actually measuring parameters to see if parts are in spec.""";
"Surlignement (Jaune),""Emplacement 3181"","""",""yield rate, which refers to the number of parts or products you manufacture that are within spec and can be used.""";
"Surlignement (Jaune),""Emplacement 3191"","""",""It’s important for new processes to always be innovating, but to avoid risk, you should also look toward processes that have been shipped in a product by someone else.""";
"Surlignement (Jaune),""Emplacement 3257"","""",""but once they are on the aisle comparing your product to all of your competition, your package has the responsibility to inform and differentiate your product.""";
"Surlignement (Jaune),""Emplacement 3260"","""",""If all the boxes in the area are blue, should yours be blue to fit in or red to differentiate?""";
"Surlignement (Jaune),""Emplacement 3266"","""",""It’s important to consider dimensions, so that you can maximize the number of boxes in a master carton and the number of master cartons per pallet.""";
"Surlignement (Jaune),""Emplacement 3268"","""",""you minimize the package and optimize for cost? The""";
"Surlignement (Jaune),""Emplacement 3270"","""",""oDuring packaging design, it’s important to note that a packaging designer who deals with the structural form of the box will likely not be the graphic designer who chose the colors and designed the graphic assets of the company (logos, fonts, etc.), which were probably made for your website and launched long before you began considering packaging for the product.""";
"Surlignement (Jaune),""Emplacement 3280"","""",""There should be a logical flow in how the box is unpacked.""";
"Surlignement (Jaune),""Emplacement 3281"","""",""The package can also sometimes be repurposed for the product so that it isn’t wasted. For example, it could become a charging station, mounting stand, or other natural accessory for the product.""";
"Surlignement (Jaune),""Emplacement 3319"","""",""Due to the current popularity of entrepreneurship,""";
"Note,""Emplacement 3319"","""",""Pemer a cela et au piege de la mode""";
"Surlignement (Jaune),""Emplacement 3337"","""",""hardware founders typically face additional complexities that aren’t covered in the curriculums of even the best software accelerators. There are unique challenges associated with manufacturing, supply chain, inventory management, and fulfillment, for example.""";
"Note,""Emplacement 3339"","""",""Fullfilment c'est quoi?""";
"Surlignement (Jaune),""Emplacement 3341"","""",""have carefully curated relationships with the manufacturers and design firms needed to successfully bring a physical product to market.""";
"Surlignement (Jaune),""Emplacement 3399"","""",""“One thing that stands out about our portfolio is only 30 percent of our startups are consumer focused,”""";
"Surlignement (Jaune),""Emplacement 3400"","""",""“We love highly technical and complex systems and embrace aerospace, robotics and systems engineering companies. We’re also not afraid to get our hands dirty in unsexy businesses like trash, parking, and vending.”""";
"Note,""Emplacement 3401"","""",""Effet de mode""";
"Surlignement (Jaune),""Emplacement 3411"","""",""Acceptable sectors""";
"Note,""Emplacement 3411"","""",""Est ce qu'il y a un accelerateur pour le militaire?""";
"Surlignement (Jaune),""Emplacement 3424"","""",""HAXLR8R places a good deal of emphasis on founders being close to factories, focusing on lean manufacturing with Chinese engineers who view speed and cost as design and business constraints.""";
"Surlignement (Jaune),""Emplacement 3446"","""",""Another incubator run by an investment fund, AlphaLab Gear is the hardware-specific offshoot of AlphaLab. This new eight-month program""";
"Note,""Emplacement 3448"","""",""Tpujpurs limité dans le temp  question surlaentalité au pire,j'aurai apris qch""";
"Surlignement (Jaune),""Emplacement 3587"","""",""While a software-focused incubator can’t provide access to its own factories,""";
"Surlignement (Jaune),""Emplacement 3589"","""",""There is also a credibility boost to coming out of a program that’s highly regarded and has an established track record of successful companies.""";
"Surlignement (Jaune),""Emplacement 3613"","""",""He also didn’t want to turn to Kickstarter too early, because so many crowdfunding raises for consumer products had resulted in teams that hit their goals but still ultimately didn’t have enough money to produce the product. New hardware founders, it seemed, consistently mispriced their offerings and delivered late.""";
"Surlignement (Jaune),""Emplacement 3616"","""",""“Normally, if I had started another mobile or software company, I would not have gone the incubator route,” Chris says. “But I was really worried about the pitfalls of manufacturing and about all of the things that I did not know that I didn’t know.”""";
"Surlignement (Jaune),""Emplacement 3625"","""",""And the second factor is that there’s also some stigma about baby products from China.""";
"Note,""Emplacement 3625"","""",""Ne pas produire en chine pour eviter tous les stereptypes liés aux scandales sanitaires en chine""";
"Surlignement (Jaune),""Emplacement 3639"","""",""Speaking with program alumni is another excellent way to decide if the fit is right for you.""";
"Surlignement (Jaune),""Emplacement 3648"","""",""donation-based crowdfunding:""";
"Surlignement (Jaune),""Emplacement 3649"","""",""equity crowdfunding, in which a team fundraises from the public in exchange for equity,""";
"Surlignement (Jaune),""Emplacement 3654"","""",""A crowdfunding campaign is often the public’s first exposure to your product and/or company, and it’s critical to get it right the first time.""";
"Surlignement (Jaune),""Emplacement 3682"","""",""The platform takes 5 percent of funds raised.""";
"Surlignement (Jaune),""Emplacement 3682"","""",""This doesn’t include the additional 3–5 percent in credit card processing fees.""";
"Surlignement (Jaune),""Emplacement 3685"","""",""Indiegogo""";
"Surlignement (Jaune),""Emplacement 3696"","""",""On average, campaigns launched on a Monday or Tuesday raise 14 percent more in the first week than campaigns launched on all other days of the week.""";
"Surlignement (Jaune),""Emplacement 3777"","""",""Do your research to make sure you’re launching on the crowdfunding site best suited to your type of product. Investigate the composition of the audience and the breakdown of the projects.""";
"Surlignement (Jaune),""Emplacement 3797"","""",""It’s important to understand what makes potential customers excited about giving money to a company for a product that isn’t even launched yet. Backers want to feel like early adopters, discovering a cool new product before it even hits the market. They’re taking a leap of faith, buying something that doesn’t exist yet (and might never exist, in the worst-case scenario).""";
"Surlignement (Jaune),""Emplacement 3816"","""",""Based on our experience, people participate in crowdfunding for four main reasons.""";
"Surlignement (Jaune),""Emplacement 3817"","""",""The first is people. People fund people";" they’re funding the campaign owner or the team behind the campaign."""
"Surlignement (Jaune),""Emplacement 3819"","""",""Some people just really want the idea to come to life.""";
"Surlignement (Jaune),""Emplacement 3820"","""",""This is a little different in that it speaks more to people wanting to do something interesting, to be a part of the things and the groups and the opportunities that they care about.""";
"Surlignement (Jaune),""Emplacement 3824"","""",""the cool stuff you can get!""";
"Surlignement (Jaune),""Emplacement 3870"","""",""Don’t offer t-shirts or small tchotchkes unless you have reason to believe that they will genuinely help move your project forward. If they won’t, they’re a distraction.""";
"Surlignement (Jaune),""Emplacement 3876"","""",""Most""";
"Note,""Emplacement 3876"","""",""Vendre des videos sur YT sur comment cela se passe, sur de la stratégie """;
"Surlignement (Jaune),""Emplacement 3876"","""",""know""";
"Note,""Emplacement 3876"","""",""Moyen aussi de se pencher sur des nft ou biem des videos personnalisée, un moyen de prouver j'était la au depart""";
"Surlignement (Jaune),""Emplacement 3880"","""",""including perks such as a $25 sticker or $50 mug is a great way to alienate a large chunk of your audience.""";
"Surlignement (Jaune),""Emplacement 3938"","""",""Many hardware founders who launch on a crowdfunding platform significantly underprice their products.""";
"Surlignement (Jaune),""Emplacement 3946"","""",""You can also offer experiences, such as an in-person or Skype demo, a workshop on how to use the product, or a personalized tour of your office or lab.""";
"Surlignement (Jaune),""Emplacement 3949"","""",""Consider offering limited-edition""";
"Surlignement (Jaune),""Emplacement 3982"","""",""your burn rate (the amount that your startup spends each month).""";
"Surlignement (Jaune),""Emplacement 3984"","""",""download from this book’s GitHub repository to use it yourself).""";
"Note,""Emplacement 3985"","""",""Il y a plein d'info sur Github""";
"Surlignement (Jaune),""Emplacement 3988"","""",""you should be taking into account the following potential expenses for each perk: Product packaging Certification fees Warehousing/storage costs Packing and shipping (including labor costs) Defectives (including return shipping and replacement costs) Customer support staff Import/export costs (tariffs, duties, etc)""";
"Surlignement (Jaune),""Emplacement 3992"","""",""Fees (to the crowdfunding platform, possibly also to the payment processor)""";
"Surlignement (Jaune),""Emplacement 4015"","""",""Timing with Manufacturing""";
"Surlignement (Jaune),""Emplacement 4052"","""",""The mantra to keep in mind here is “show, don’t tell.” A picture is worth a thousand words, and a video is worth even more than that.""";
"Surlignement (Jaune),""Emplacement 4070"","""",""Emphasize the collaborative nature of crowdfunding, and ask them to join you on your adventure (include a call to action!).""";
"Surlignement (Jaune),""Emplacement 4083"","""",""copywriter""";
"Note,""Emplacement 4083"","""",""pourfaire une campagne reussie""";
"Surlignement (Jaune),""Emplacement 4093"","""",""if the product is a luxury item — then work to achieve something polished. If you have a more DIY feel or are reaching out to an audience of makers, a low-production video might resonate more.""";
"Surlignement (Jaune),""Emplacement 4224"","""",""Every story that matters has some emotional consequence, and emotions will hook readers.""";
"Surlignement (Jaune),""Emplacement 4260"","""",""Never use marketing lingo or business jargon with the press…at the end of each sentence, read what you’ve written and ask yourself: Would a normal human being say that in conversation with a stranger?""";
"Surlignement (Jaune),""Emplacement 4285"","""",""PR agency,""";
"Note,""Emplacement 4285"","""",""Quels sont leurs roles?""";
"Surlignement (Jaune),""Emplacement 4372"","""",""Some founders offer special perks to backers who help drive sales through referrals. Others reach out with a survey or ask for feedback on a product idea.""";
"Surlignement (Jaune),""Emplacement 4375"","""",""One of the biggest mistakes we see is people using Indiegogo solely as a way to ask for money and not as an R&D platform. They’re not maximizing the opportunity they have to invite their community in, to engage with them, get feedback. This is a time when people are voting with their dollars.""";
"Surlignement (Jaune),""Emplacement 4403"","""",""Hardware startups are a capital-intensive undertaking.""";
"Surlignement (Jaune),""Emplacement 4404"","""",""As you’ll see in Chapter 10, most crowdfunding raises are not a path to funding a company. They provide an infusion of cash that will enable an entrepreneur to work full-time on a product and hopefully take it to market, but a majority of the funds brought in are going to flow back out to pay for production costs.""";
"Surlignement (Jaune),""Emplacement 4444"","""",""Bootstrapping is the term for launching a self-financed company.""";
"Surlignement (Jaune),""Emplacement 4454"","""",""Since many banks will not write loans for startups, this often takes the form of credit card debt or a personal loan.""";
"Surlignement (Jaune),""Emplacement 4553"","""",""However, most people find it difficult to raise more than a small amount of funding this way.""";
"Surlignement (Jaune),""Emplacement 4556"","""",""If he’s never invested in a company before, it’s important to make sure he understands how risky an idea-stage investment is, and that he runs a very real chance of losing the money he’s putting into your company.""";
"Surlignement (Jaune),""Emplacement 4684"","""",""fundraising becomes their full-time job for several months, until they manage to close a round.""";
"Surlignement (Jaune),""Emplacement 4696"","""",""The fundraising process is similar to sales: you’re selling a vision. Start by building out a fundraising pipeline. Identify a set of investors you want to target and set up a spreadsheet or customer relationship management (CRM) system to keep track of contact dates, feedback, and requests for follow-ups or additional information.""";
"Surlignement (Jaune),""Emplacement 4701"","""",""most VCs on the platform have tagged themselves with relevant sectors or geographic areas that fit their investment theses.""";
"Surlignement (Jaune),""Emplacement 4725"","""",""A “dot” is a single interaction — your company is at a distinct place at that moment. As a relationship develops, there are more meetings, calls, or email updates — more dots. Eventually, the investor can draw a line connecting these dots, see the path the company has taken to date, and predict where it might go in the future. The truth is, it’s rare for an investor to write a check to a founding team that she has just met,""";
"Surlignement (Jaune),""Emplacement 4779"","""",""“Are you a product or a platform?” This is the investor’s way of asking if he’s going to be backing the one widget you are currently producing, or if there is a vision for a stable of products.""";
"Surlignement (Jaune),""Emplacement 4785"","""",""Your traction""";
"Note,""Emplacement 4785"","""",""Que veut direce terme?""";
"Surlignement (Jaune),""Emplacement 4790"","""",""Mailing list signup counts.""";
"Note,""Emplacement 4790"","""",""A presenter aux investisseurs?""";
"Surlignement (Jaune),""Emplacement 4791"","""",""letters of intent (LOI).""";
"Surlignement (Jaune),""Emplacement 4802"","""",""Period.""";
"Note,""Emplacement 4802"","""",""Ça veut dire quoi en anglais?""";
"Surlignement (Jaune),""Emplacement 4830"","""",""due diligence""";
"Note,""Emplacement 4830"","""",""Kesako""";
"Surlignement (Jaune),""Emplacement 4845"","""",""If you do get passed on, it’s perfectly reasonable to follow up and ask for feedback as to why.""";
"Surlignement (Jaune),""Emplacement 4850"","""",""A strategic investor is another type of professional investor worth a separate mention. Strategics typically represent the corporate venture capital or investment arm of a large corporation""";
"Surlignement (Jaune),""Emplacement 4860"","""",""on the flip side,""";
"Surlignement (Jaune),""Emplacement 4861"","""",""Competitors of your strategic partner might be reluctant to become your customers. Occasionally, the strategic investor might require terms that specifically prevent you from selling your product in their competitors’ distribution channels or retail stores.""";
"Note,""Emplacement 4863"","""",""Si on se lance dedans il faut en avoir 2 ou zeros""";
"Surlignement (Jaune),""Emplacement 4866"","""",""A strategic investor with a large ownership stake might have the ability to block a sale.""";
"Surlignement (Jaune),""Emplacement 4875"","""",""(Venture Deals: Be Smarter Than Your Lawyer And Venture Capitalist (Wiley) by Brad Feld and Jason Mendelson is a great one),""";
"Surlignement (Jaune),""Emplacement 4878"","""",""you have to decide if you’re going to pursue convertible debt or equity financing.""";
"Surlignement (Jaune),""Emplacement 4884"","""",""a conversion trigger that applies to future fundraises";"
Surlignement (Jaune)"",""Emplacement 4890"","""",""The other piece of the note structure, the cap, is a ceiling that limits the valuation at which the debt can convert to equity, and is designed to align entrepreneur and investor incentives and reward early investors."""
"Surlignement (Jaune),""Emplacement 4903"","""",""Most""";
"Note,""Emplacement 4903"","""",""Nouveaux métiers: quels somt leurs complexités ppur apporter des outils""";
"Surlignement (Jaune),""Emplacement 4920"","""",""venture debt""";
"Surlignement (Jaune),""Emplacement 4950"","""",""most people expect to pay for physical things. In that sense, hardware companies have an advantage: they don’t have to overcome the psychological hurdle that people often face when it comes to paying for software, apps, or content (given that so much is distributed for free).""";
"Surlignement (Jaune),""Emplacement 4960"","""",""the cost of building a device continues to drop. This is great for entrepreneurs, but it’s also great for competitors who enter the market after you, or for unscrupulous folks who produce knockoffs""";
"Note,""Emplacement 4962"","""",""Le scan des BU desvrandes entreprises. Voir un business plan comme un model avec ses hypothèses . S'inspirer de la science. Bp pour convaincre ou decider planifier? Decider: comment preciser les criteres de décisions """;
"Surlignement (Jaune),""Emplacement 4971"","""",""“Think of hardware as bringing the revenue and software/services as bringing the margin.”""";
"Surlignement (Jaune),""Emplacement 4992"","""",""The first type of business model involves offering additional physical products that enhance your primary device.""";
"Surlignement (Jaune),""Emplacement 4997"","""",""One way to do this is accessories.""";
"Surlignement (Jaune),""Emplacement 5000"","""",""Supplementary""";
"Note,""Emplacement 5000"","""",""Convaincre un dev de venir sur mon projet jpindre un fablab pourchercher des capacité  de debug une troisieme raison des BP est d'appuyer une decision. (justifier une position avant meme quelle soit exprimee)""";
"Surlignement (Jaune),""Emplacement 5003"","""",""This model does require you to be able to produce the additional accessories, and you don’t want accessory production to distract you from continuing development on your primary product.""";
"Surlignement (Jaune),""Emplacement 5013"","""",""Another variant of selling additional physical products is the razors-and-blades lock-in model,""";
"Surlignement (Jaune),""Emplacement 5017"","""",""sell the razor at a loss, and profit on the blades.""";
"Surlignement (Jaune),""Emplacement 5024"","""",""The idea is that if your products can communicate with each other, then buying two products from the same brand confers additional benefits beyond the basic features of each.""";
"Surlignement (Jaune),""Emplacement 5036"","""",""Lowe’s also invests in connected-home startups as a strategic investor, often requiring that the startups make their products compatible with Iris.""";
"Surlignement (Jaune),""Emplacement 5050"","""",""Or perhaps the alarm company gave it to you for free, or charged only an activation fee.""";
"Surlignement (Jaune),""Emplacement 5076"","""",""Gaming startup Ouya is doing just that: manufacturing an inexpensive gaming console, offering a free development kit, and doing a 70/30 revenue split with developers.""";
"Surlignement (Jaune),""Emplacement 5081"","""",""Selling Data""";
"Surlignement (Jaune),""Emplacement 5100"","""",""For some hardware companies, it might not be necessary to sell atoms at all. Your customers might simply need the data that your device is the best equipped to obtain.""";
"Surlignement (Jaune),""Emplacement 5101"","""",""a hardware startup that builds weather sensors with sophisticated analytics capabilities, doesn’t sell the hardware to its customers. Instead, it installs sensors in specific regions and gathers data, then sells it to cities, insurers, agriculture companies, and so on.""";
"Surlignement (Jaune),""Emplacement 5108"","""",""You might be considering an open source hardware (OSHW) business model.""";
"Surlignement (Jaune),""Emplacement 5137"","""",""You’ll want to develop your pricing strategy long before you manufacture your first run.""";
"Surlignement (Jaune),""Emplacement 5143"","""",""Price is a component of brand positioning";" the cost of an item has an impact on the customer demographic that purchases it."""
"Surlignement (Jaune),""Emplacement 5159"","""",""Entire textbooks have been written on strategic pricing (tying your price to positioning) and price optimization (always having the right price for a given customer and distribution channel).""";
"Surlignement (Jaune),""Emplacement 5167"","""",""In behavioral finance, the concept of anchoring describes how an initial piece of information becomes the framework upon which subsequent decisions are evaluated.""";
"Surlignement (Jaune),""Emplacement 5175"","""",""There are a few opportunities in the life of a hardware company for you to raise prices without negative customer associations.""";
"Surlignement (Jaune),""Emplacement 5178"","""",""you can raise the price when the preorder period has ended. In both of these cases, the perception is that you’re rewarding early adopters""";
"Surlignement (Jaune),""Emplacement 5179"","""",""One thing you absolutely can’t do is sell the product at a lower price on your company’s site than your retail partners are charging for it in-store. Most retailers won’t allow that, so if retail is something you’re thinking of, it’s important to build the retailer margin in right from the start.""";
"Surlignement (Jaune),""Emplacement 5183"","""",""the three traditional approaches to pricing — cost-plus, market based, and value based —""";
"Surlignement (Jaune),""Emplacement 5188"","""",""Cost-plus pricing involves identifying all of the costs that go into producing a product, and then adding on the desired margin.""";
"Surlignement (Jaune),""Emplacement 5208"","""",""Profit margin is partially a function of distribution strategy.""";
"Surlignement (Jaune),""Emplacement 5218"","""",""Simply identifying the decision makers in the company and getting a meeting on the calendar might take a lot of time.""";
"Surlignement (Jaune),""Emplacement 5221"","""",""pricing experts will tell you that this is a terrible way to actually determine your price. This is because cost-plus pricing ignores the real world. It ignores market competition, and it ignores buyer psychology.""";
"Surlignement (Jaune),""Emplacement 5230"","""",""This is a bit of a chicken-and-egg problem: since you haven’t taken your product to market yet, you don’t really know what they’re truly willing to pay.""";
"Surlignement (Jaune),""Emplacement 5238"","""",""While cost-plus pricing is a bottom-up approach, market-based pricing is top-down: identify the competition already in the market, examine their prices, and select a price that is competitive with these other offerings.""";
"Surlignement (Jaune),""Emplacement 5251"","""",""In his excellent pricing-strategy textbook, Pricing and Revenue Optimization (Stanford Business Books), Robert Phillips discusses the friction between the sales, marketing, and finance divisions of a company when it comes to establishing price. Finance organizations prefer the bottom-up analysis, which takes the company’s costs into account. Sales teams like market-based pricing, because they can appeal to customers in terms of dollars saved. The third approach, value-based pricing, is the favorite of the marketing department. Value-based pricing looks at the price charged by the closest competitor (similar to top-down) and adjusts for differences between that competitive offering and the firm’s own.""";
"Surlignement (Jaune),""Emplacement 5261"","""",""Pricing to value is the preferred method of pricing experts.""";
"Surlignement (Jaune),""Emplacement 5271"","""",""price ceiling";" customers don’t want to pay more for a product than they gain from having it. The price floor (discussed in “Cost-Plus Pricing: A Bottom-Up Approach”) and this price ceiling form a sort of bounding box around a feasible price range."""
"Surlignement (Jaune),""Emplacement 5279"","""",""Psychographic profiles (sometimes called behavioral profiles) move beyond the “who” of the customer and try to get at the “why.”""";
"Surlignement (Jaune),""Emplacement 5280"","""",""As""";
"Note,""Emplacement 5280"","""",""Representation graphique dans le temps avec les points qui bougent de cercle en cercle""";
"Surlignement (Jaune),""Emplacement 5298"","""",""Even though ROI might not be as obvious for a B2C product, it’s still possible to tie benefits to price by clearly conveying your value proposition. Ask your potential customers to articulate why they would purchase your product. Are you making something faster, safer, or better? Is your product something that conveys status?""";
"Surlignement (Jaune),""Emplacement 5308"","""",""Misfit’s team read thousands of Amazon reviews for various products already in the market, meticulously noting praise for existing features, common complaints,""";
"Surlignement (Jaune),""Emplacement 5331"","""",""Ps of Marketing”: product, price, place, and promotion.""";
