"Note,""Emplacement 4207"","""",""Quel est la difference entre les 2?""";
"Surlignement (Jaune),""Emplacement 4215"","""",""In the Small Business segment, you typically want CSMs who are skilled at prioritization. If your product or service needs technical competence, most Small Business customers will not have the budget to spend on paid services from your company. They will expect the CSM to roll up their sleeves and work with their teams. In those cases, hiring people with excellent technical skills is advantageous. Example profiles of persons with prior experience and related skills include Solutions Architects, Sales Engineers, or Support Reps, especially if your product is technically complicated.""";
"Surlignement (Jaune),""Emplacement 4219"","""",""If your product is simpler to set up, then Inside Sales Reps, Business Development Managers or Account Managers can work well in this role.""";
"Surlignement (Jaune),""Emplacement 4225"","""",""Some companies implement a shared or a “pooled” Customer Success team.""";
"Note,""Emplacement 4226"","""",""Cf chez zelros""";
"Surlignement (Jaune),""Emplacement 4232"","""",""To ensure the success of our clients, we provide a variety of virtual engagement opportunities, all hosted by Customer Success Managers, so that clients can engage an expert and get the help they need.”""";
"Surlignement (Jaune),""Emplacement 4244"","""",""determine the minimum amount of engagement that is required to attain your maximum retention and growth revenue targets.""";
"Surlignement (Jaune),""Emplacement 4278"","""",""Financial outcomes are a lagging indicator,""";
"Surlignement (Jaune),""Emplacement 4288"","""",""If your primary business challenge is avoiding churn, measure and compensate the team on gross retention rate or churn rate.""";
"Note,""Emplacement 4288"","""",""Depemd de la priorite business""";
"Surlignement (Jaune),""Emplacement 4376"","""",""Depending on the needs of each customer segment, these teammates have different skills and aspirations for their roles.""";
"Surlignement (Jaune),""Emplacement 4410"","""",""SMB Customer Success Manager versus an Enterprise Customer Success Manager.""";
"Surlignement (Jaune),""Emplacement 4426"","""",""it is essential to develop two separate career tracks (Individual Contributor vs. Manager).""";
"Surlignement (Jaune),""Emplacement 4564"","""",""common framework that is still being used for talent reviews is the 9-Block Talent Model developed in the 1970s by McKinsey and General Electric (GE)""";
"Surlignement (Jaune),""Emplacement 4611"","""",""For Customer Success Manager jobs, we recommend looking at roles such as a Sales Development Representative (SDR), Support Agents, Account Managers or Renewal Representatives, Solution Consultants, Project Managers, and Business Analysts.""";
